,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,@ShobhaBJP @narendramodi @AmitShah @amitmalviya @amritabhinder @nsitharaman @BJP4Karnataka @BJP4India @rajeev_mp… https://t.co/btFA12lm8F,2019-04-28 07:31:18,77.373474, 12.919037,76,Neutral,0.0,17,
1,@AmitShah My Dream.... https://t.co/2KkxmZsdcv,2019-04-28 07:28:48,76.707671, 28.199529,97,Neutral,0.0,1,
2,"@narendramodi @NitishKumar @begusaraibjp @r007awasthi @AmitShah @AbvpBegusarai 
Vote For BJP ON 29-04-2019 Tomorrow… https://t.co/FSL7ibmigR",2019-04-28 07:28:11,86.11428, 25.403266,786,Neutral,0.0,136,"Begusarai,India"
3,@therajanji @gsurya @AmitShah @Swamy39 Subramanian Swamy supporters shd take printouts and hang it in their homes.… https://t.co/VNT8MWMmFn,2019-04-28 07:27:02,80.1934237, 13.080055,37187,Neutral,0.0,123,"Chennai,Tamil Nadu, India."
4,@TwitterIndia @TwitterSupport BAN @sonamJain001 for such vulgar comments @BJP4India @IndiaToday @aajtak @ZeeNews… https://t.co/00pdTsofjm,2019-04-28 07:24:35,72.74484, 18.845343,3809,Negative,-0.35,1584,MUMBAI
5,@JS_Bishnoi @BJP4India @narendramodi @BJP4Rajasthan @gssjodhpur @AmitShah @VasundharaBJP Only BJP,2019-04-28 07:23:14,69.484366, 23.060464,616,Neutral,0.0,40,"Phalodi, India"
6,@dc2727 @RahulGandhi @BJP4India @BJP4UP @BJP4Amethi @narendramodi @myogiadityanath @AmitShah @Swamy39 What was he doing in Berlin?,2019-04-28 07:19:04,-83.214001, 42.620953,1919,Neutral,0.0,49,"Michigan, USA"
7,@gsurya @AmitShah @Swamy39 So giving ticket or not is Amit Shah and BJP's prerogative,2019-04-28 07:10:41,77.3305776, 12.731936,766,Neutral,0.0,180,"Bengaluru, India"
8,"All @AamAadmiParty is about defeating @BJP4India, @narendramodi and @AmitShah only
One can easily find out by watch… https://t.co/zVRQdTf1EL",2019-04-28 07:10:04,76.84252, 28.397657,1739,Positive,0.22,141,"Delhi, India"
9,@NeelkanthAd @myogiadityanath @narendramodi @AmitShah @JPNadda @GopalJi_Tandon @sunilbansalbjp @sunilozabjp @BJP4UP… https://t.co/nADObBdp4y,2019-04-28 07:05:39,82.671054, 25.166781,61,Neutral,0.0,4,India
10,Our political workers in london. @BJP4India @BJP4MP @vinay1011 @AmitShah @AmitShahOffice @narendramodi @PMOIndia… https://t.co/oMc65b4KpY,2019-04-28 07:03:04,76.84252, 28.397657,833,Neutral,0.0,19,"Vikas Puri, New Delhi"
11,"@VasundharaBJP @BJP4Rajasthan @BJPLive @BJP4India @narendramodi @AmitShah Sure madam we will do it ,thanks for inspiration to all",2019-04-28 07:02:02,72.6100969, 25.8528564,22,Positive,0.35,1,
12,@AmitShah Please tell honestly what is the percentage of curreption in BJP ruling states whether it may be 0 or som… https://t.co/fVualqIRzV,2019-04-28 06:57:47,76.4551434, 12.1175892,314,Highly Positive,0.6,4,"Mysore, India"
13,@AmitShah @BJP4India @nsitharaman Hoping our country remains in the safe hands of these patriotic greatly honoured people,2019-04-28 06:57:26,77.3305776, 12.731936,31,Highly Positive,0.65,2,
14,@RoopaSpeaks @BJP4Bengal @MukulR_Official @narendramodi @AmitShah @KailashOnline @MenonArvindBJP When you with Bjp… https://t.co/7YCDB8ncO1,2019-04-28 06:51:04,88.106596, 26.446134,2688,Neutral,0.0,47,"Siliguri, India"
15,"Wish u a veRy VERY HAPPY BIRTHDAY MA'AM @AnupriyaSPatel ji 🎂 🎊 🍫 🎁 💐 💐 🙏 🙏

You are a big inspiration of our young… https://t.co/9BLdjDPjCk",2019-04-28 06:49:41,76.84252, 28.397657,38864,Highly Positive,0.5,229,"New Delhi, India"
16,"@anuragkashyap72 V, taxpayers, same ppl who pays to watch any damn crap movies of Bollywood chaps, incl U, if U rea… https://t.co/VCTONQxin4",2019-04-28 06:46:41,76.84252, 28.397657,4344,Negative,-0.4,243,"New Delhi, India"
17,@BJYM @poonam_mahajan @narendramodi @AmitShah @PMOIndia @AmitShahOffice Not true at all. Require disciplinary actio… https://t.co/0JI99o1BvY,2019-04-28 06:46:29,74.474584, 27.650638,38,Negative,-0.17,18,india
18,@ibhagwa_n @OfficialUrmila @narendramodi @girirajsinghbjp @IPraveenDixit @shuklapinku @AmitShah @SengarAjay505… https://t.co/9JdmzOIxbT,2019-04-28 06:44:05,73.1016321, 19.063864,173518,Neutral,0.0,1289,
19,@AmitShah @BJYM Require STRICTNESS on newly tenures of construction TO COMPLETION.any hindrance spoils image and go… https://t.co/RYUCK1p5g3,2019-04-28 06:43:52,74.474584, 27.650638,38,Positive,0.14,18,india
20,@SatishSharmaMla @AmitShah @BJP4UP @BJP4India Welcome Amit ji,2019-04-28 06:42:58,80.742069, 27.91562,14411,Highly Positive,0.8,115,Lakhimpur Kheri
21,@abbas_nighat @CharuPragya @IShivamChhabra @neelkantbakshi @siddharthanbjp @ManojTiwariMP @narendramodi @AmitShah… https://t.co/YDJKn2n8XU,2019-04-28 06:42:54,76.84252, 28.397657,4039,Neutral,0.0,1562,"New Delhi, India"
22,@ibhagwa_n @Payal_Rohatgi @OfficialUrmila @narendramodi @girirajsinghbjp @IPraveenDixit @shuklapinku @AmitShah… https://t.co/ogTnS76zON,2019-04-28 06:37:44,74.860575, 8.291304,1714,Neutral,0.0,62,
23,@mitalishah121 @AmitShah @YogiDevnathji @narendramodi @pargyadidi Out of syllabus.,2019-04-28 06:34:22,77.668438, 25.779629,1435,Neutral,0.0,90,"Gwalior, India"
24,@WildChildVini @kanhaiyakumar @ReallySwara @Javedakhtarjadu @PMOIndia @narendramodi @AmitShah @anil_baluni… https://t.co/Nhiu6FEQnR,2019-04-28 06:29:27,72.74484, 18.845343,45335,Neutral,0.0,875,प्रयागराज | Mumbai
25,@WildChildVini @kanhaiyakumar @ReallySwara @Javedakhtarjadu @PMOIndia @narendramodi @AmitShah @anil_baluni… https://t.co/Oiu6Spu2YB,2019-04-28 06:27:40,72.74484, 18.845343,45334,Neutral,0.0,875,प्रयागराज | Mumbai
26,@GautamGambhir @narendramodi @BJP4Delhi @BJP4India @AmitShah You have the “bat”to hit Pakistani “balls”... but firs… https://t.co/P7bWx4DE6e,2019-04-28 06:25:45,76.707671, 28.199529,2,Neutral,0.0,3,India
27,@TabeenahAnjum @BJP4India @AmitShah @VasundharaBJP @PrakashJavdekar @gssjodhpur @DeccanHerald Modi again joy ho Bjp,2019-04-28 06:21:15,77.096236, 23.871941,3416,Highly Positive,0.8,41,
