,text,created_date,latitude,longitude,retweet,polarity
0,"RT @thewire_in: In April 2018, BJP MLA Kuldeep Singh Sengar from Unnao was arrested for kidnapping and raping a woman. 

Shortly after, the…",2019-04-24 14:25:58,,,460,Neutral
1,"RT @srivatsayb: ""BJP is denying vocal Dalit members like Udit Raj tickets because they just won’t fall in line""

This is absolutely true. B…",2019-04-24 14:25:57,,,37,Positive
2,@NewsHtn Ignore .. after all it's a BJP spokesperson !,2019-04-24 14:25:56,,,0,Neutral
3,"RT @firstpost: On joining #Congress, Udit Raj claimed that the #BJP did not give him a ticket as he had spoken out in support of the Dalits…",2019-04-24 14:25:54,,,4,Neutral
4,"RT @saahilmenghani: THREAD 

@raghav_chadha  will challenge the EC official's decision to 'wrongfully' accept the nomination of BJP candida…",2019-04-24 14:25:54,,,4,Neutral
5,So as long as the actors are Hindus and they are working for BJP they can endorse or campaign openly despite being… https://t.co/prQKSPGijI,2019-04-24 14:25:54,,,0,Negative
6,TRS chief to resume efforts on non-Cong non-BJP front https://t.co/QW4x1A1WN3,2019-04-24 14:25:53,78.3897718, 17.3013989,0,Neutral
7,"RT @KanchanGupta: This turnout for #ModiRally at Ranaghat in #WestBengal tells a story. Before 'Poriborton' (Change), TMC had coined the sl…",2019-04-24 14:25:53,,,455,Neutral
8,BJP government used investigative agencies for political vendetta: Puducherry CM V Narayanasamy - ANI News… https://t.co/t3KgSHU543,2019-04-24 14:25:51,,,0,Neutral
9,"RT @BJP4JnK: #BharatMangeModiDobara

Each poll further strengthening democracy in J&amp;K : BJP National Vice-President &amp; J&amp;K Prabhari Sh. @ImA…",2019-04-24 14:25:50,,,12,Neutral
10,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:50,,,4060,Negative
11,"@dhruv_rathee @chaitanyamlad Hahahaha what a joke... in your every video you talk about BJP, you show varanasi but… https://t.co/nZhL4ubWOs",2019-04-24 14:25:48,,,0,Positive
12,@ashokepandit @AzmiShabana @RichaChadha @ReallySwara @nanditadas @varungrover @Ayeshatakia They may be hiding for h… https://t.co/8iW3QBsGde,2019-04-24 14:25:48,,,0,Neutral
13,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:47,,,4060,Negative
14,"RT @itsAdityaS: #RajThackeray just destroyed the lies of BJP IT wing, he invited a family on stage, their personal photo was misused by BJP…",2019-04-24 14:25:46,,,2098,Neutral
15,"RT @narendramodi: Those born in the 21st century, our first time voters have only seen BJD misrule. 

A vote for BJP in Odisha is a vote to…",2019-04-24 14:25:46,,,3041,Positive
16,@taliskerlover Modi is more popular in UP/ raj/ Bihar than gujarat.  I expect bjp to do not so great in rural guj.… https://t.co/eyfSqm1FK6,2019-04-24 14:25:45,,,0,Positive
17,RT @ashoupadhyay: A day after Harish Rawat claimed that Modi would lose if Priyanka contested against him as his horoscope had kalsarpa yog…,2019-04-24 14:25:44,,,2,Neutral
18,"@Bhupeshp_IND Thanks My dear Young BJP Friend Bhai Bhupesh
#BharatMangeModiDobara",2019-04-24 14:25:44,,,0,Positive
19,"RT @saahilmenghani: @raghav_chadha @news18dotcom AAP tells me it is a fit case for legal challenge on following grounds-

1. BJP's Bidhuri…",2019-04-24 14:25:44,,,1,Positive
20,@Ramanju95621555 @archu243 @RahulGandhi To bjp to criminal ki Sena hai,2019-04-24 14:25:43,,,0,Negative
21,@HiteshAwasthi20 @Hema_quotes @kajal_jaihind @RiseofBurnol @MrsGandhi @SarojMi86385397 @vagishasoni @ExSecular… https://t.co/q4WeX8PCcr,2019-04-24 14:25:43,,,0,Neutral
22,@OfficialUrmila @JhaSanjay While looking at her selection of script one can easily understand y she prioritized Congress over BJP.,2019-04-24 14:25:43,,,0,Positive
23,RT @GauravPandhi: Not just the claim of Vikas but their advertisements too are fake. Well done @RajThackeray in exposing the lies of the BJ…,2019-04-24 14:25:41,,,334,Highly Negative
24,RT @rvaidya2000: Crazy TN chnnls:In adjacent SL Islamist Jihadis bombed at killed 350 +ppl in Churches and hotels--These breaking India for…,2019-04-24 14:25:40,,,189,Negative
25,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:38,,,4060,Negative
26,"Drama guy who is useless to BJP now as he has been caught red handed asking for money. 
Now Congress became scapego… https://t.co/NmAw9TzRaU",2019-04-24 14:25:34,-0.627464, 51.652719,0,Negative
27,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:33,,,4060,Negative
28,RT @NehaShalini2: https://t.co/WgPPoTU5X7 Neha Shalini dua Bjp spokesperson said that congress is with corruption at Sahara news please wat…,2019-04-24 14:25:32,,,9,Neutral
29,"RT @thewire_in: .@narendramodi's 'Beti Bachao, Beti Padhao' was another flat balloon: 56% of the money went on publicity. And only 24% of f…",2019-04-24 14:25:32,,,70,Negative
30,RT @AnandKochukudy: Congress back in the fight in BJP strongholds in Madhya Pradesh  @indscribe reports https://t.co/2FSjWHcE64,2019-04-24 14:25:32,,,6,Neutral
31,RT @BDUTT: On #DemocracyLive :#ModiwithAkshay - 'Airlift' for BJP? We discuss Modi &amp; Art of Political Communication with @seemagoswami @DIL…,2019-04-24 14:25:31,,,6,Neutral
32,@ManyaPande Alas! BJP has no young teenager props like Sonia scion. https://t.co/lEZSRUSWP7,2019-04-24 14:25:31,80.658613, 26.642291,0,Negative
33,EC initiates steps to take down trailers of Mamata Banerjee biopic from websites after BJP's complaint - Republic W… https://t.co/JKvYZFQ4mG,2019-04-24 14:25:31,,,0,Negative
34,RT @iMohit_Sharma: #Breaking: BJP's South Delhi candidate @rameshbidhuri's nomination also accepted by EC. @AamAadmiParty's @raghav_chadha…,2019-04-24 14:25:31,,,1,Neutral
35,RT @abpnewstv: BJP has fielded Thakur as its Lok Sabha candidate from Bhopal in Madhya Pradesh to take on Congress veteran Digvijay Singh h…,2019-04-24 14:25:29,,,6,Neutral
36,"RT @BJP4India: To remove 'Speed-breaker' Didi, you will have to strengthen this Chowkidaar. 

I urge you to go and vote for BJP: PM Shri @n…",2019-04-24 14:25:28,,,181,Neutral
37,"RT @BJP4India: Violence and suppression can't scare the karyakartas of BJP. If we were scared, a party of two elected representative wouldn…",2019-04-24 14:25:28,,,127,Neutral
38,"RT @thewire_in: .@narendramodi's 'Beti Bachao, Beti Padhao' was another flat balloon: 56% of the money went on publicity. And only 24% of f…",2019-04-24 14:25:27,,,70,Negative
39,"RT @kiran_babu24: BJP Model
Gujarat Farmers are getting 24 hours Electricity For Irrigation
Getting Enough water for Irrigation

Congress M…",2019-04-24 14:25:27,,,1,Neutral
40,BJP controlled EC removed SIT officer probing firing cases: Capt Amarinder Singh https://t.co/XxFULvMOMK,2019-04-24 14:25:26,,,0,Neutral
41,"RT @rupagulab: After Tom Vaddakan &amp; Priyanka Chaturvedi’s defection to Hindutva parties, BJP spokies are having fun. They apparently tell c…",2019-04-24 14:25:26,,,93,Positive
42,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:25:25,,,23,Highly Positive
43,RT @RealHistoryPic: Raj Thackeray invited the family on the stage whose image was used by BJP IT cell to show development of Modi. 😂😂😂😂😂😂😂😂…,2019-04-24 14:25:24,,,3212,Neutral
44,"RT @republic: #May23WithArnab | BJP's Chandra Kumar Bose accuses Kolkata Police of inaction; says, ""I would've been murdered, if my party w…",2019-04-24 14:25:24,,,34,Neutral
45,"RT @ShashankMukut: No water for farming.
Farming has become a loss making job.

While Mallya and Nirav Modi fled away with crores of rupees…",2019-04-24 14:25:24,,,3,Neutral
46,BJP Leaders Get ‘Trendy Hairstyles’ After Jawed Habib Joins the Party https://t.co/oLHnqmA6Uf https://t.co/O7TwsnJ3rO,2019-04-24 14:25:23,,,0,Highly Positive
47,"RT @Nehr_who: BJP candidates Speech:

RS katheria: Will cut fingers raised on us

Satpal Singh: Will chop off arms raised on Modi

Manoj Si…",2019-04-24 14:25:23,,,54,Neutral
48,RT @Being_Humor: Anil Kapoor more openly supporting BJP after Javed Habib joined BJP https://t.co/lYwtNCxJVp,2019-04-24 14:25:22,,,108,Positive
49,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:25:20,,,48,Positive
50,"RT @ShekharGupta: Why BJP, Shiv Sena are losing sleep over Raj Thackeray though he’s not contesting this election

ThePrint's associate edi…",2019-04-24 14:25:19,,,227,Neutral
51,"RT @ANI: BJP MP candidate from Bhopal, Pragya Singh Thakur on NIA court rejecting plea to ban her from contesting LS poll: Congress has bee…",2019-04-24 14:25:19,,,177,Neutral
52,"RT @ShekharGupta: A Bengal village shows India how to do it...

‘A fine Ram temple built by Hindus, Muslims, Christians &amp; Sikhs is Bengal’s…",2019-04-24 14:25:15,,,101,Positive
53,@AamAadmiParty @VishalDadlani @AAPGuganSingh It seems like only #BJP is fighting elections to make #Government othe… https://t.co/5g65QDKYfS,2019-04-24 14:25:15,,,0,Neutral
54,"PC or NO PC! 
After some news channels Big breaking on PM Narendra Modi's press conference on 26th April, BJP has o… https://t.co/Dd2uN2QwXJ",2019-04-24 14:25:14,,,0,Neutral
55,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:25:13,,,23,Highly Positive
56,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:25:13,,,48,Positive
57,RT @abpnewstv: It doesn't matter if my speeches benefit the Cong-NCP but BJP should not gain at any cost. The government is run by just 2 p…,2019-04-24 14:25:11,,,129,Neutral
58,RT @Vishj05: Akshay Kumar showed Modi ji Photoshopped image by Krishna. Modi ji was surprised that despite such brilliant photoshopping ski…,2019-04-24 14:25:11,,,35,Positive
59,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:25:10,,,48,Positive
60,RT @rose_k01: BJP goes a step further in RUBBING SALT in Digvijaya Singh WOUNDS 😂😂 Honours the Gulabi Shirt Hero Amit Mali who trolled #Dig…,2019-04-24 14:25:09,,,1226,Neutral
61,@i_marwadi You caught the bjp philosophy.,2019-04-24 14:25:09,,,0,Neutral
62,RT @JantaKaReporter: BJP denies reports of Modi holding his first ever press conference https://t.co/WJEWmg6n6n,2019-04-24 14:25:08,,,20,Positive
63,"Amitjee , after TMC's wash out from WB pl don't allow the rotten TMC party cadres at bottom level otherwise your pa… https://t.co/ObYVi3WE5G",2019-04-24 14:25:07,88.406862, 22.873953,0,Neutral
64,"RT @TheKamDevBaba: Parody on Modi vs Nehru. 
BJP Loves to Blame Nehru on Everything, so we made this Hilarious Parody on them. 
Please Retw…",2019-04-24 14:25:07,,,598,Highly Positive
65,"In Rally After Rally, Modi is Using Balakot to Seek Votes; What is The EC Doing? Asks Yogendra Yadav… https://t.co/rwiWgmjvO8",2019-04-24 14:25:07,,,0,Neutral
66,"RT @FriedrichPieter: India's internationally famous progressive writer #ArundhatiRoy warns ""We're up against a fascist regime in India,"" ad…",2019-04-24 14:25:06,,,128,Highly Positive
67,"RT @ashu111288: Since current karnataka Govt. cannot fight straight with BJP leaders, 

they attack at the party workers. 

Why did they ev…",2019-04-24 14:25:05,,,284,Positive
68,"RT @BJP4India: No one can imagine such a huge rally of BJP in West Bengal.

After few phases of elections, Didi has lost the 'little hope'…",2019-04-24 14:25:04,,,192,Positive
69,"@TimesNow @RShivshankar Official BJP propaganda channels Republic TV, Times Now and Doordarshan must be excluded if… https://t.co/d3AkFL7vc6",2019-04-24 14:25:04,,,0,Negative
70,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:04,,,4061,Negative
71,@narendramodi vote for modi Vote for Bjp https://t.co/cr5aZfiim3,2019-04-24 14:25:04,,,0,Neutral
72,"RT @__Bhakts_Buztr: Case # 678 
#RIH @E_Loveda

Suspended by @Twitter
Reported by #TeamBB 

Another A/c created &amp; operated by BJP IT cell t…",2019-04-24 14:25:04,,,8,Neutral
73,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:03,,,4061,Negative
74,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:25:02,,,4061,Negative
75,RT @JantaKaReporter: BJP denies reports of Modi holding his first ever press conference https://t.co/WJEWmg6n6n,2019-04-24 14:25:01,,,20,Positive
76,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:24:59,,,24,Highly Positive
77,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:24:59,,,48,Positive
78,"@raghav_chadha @news18dotcom AAP tells me it is a fit case for legal challenge on following grounds-

1. BJP's Bidh… https://t.co/oniUBVRwHk",2019-04-24 14:24:58,,,1,Positive
