,text,created_date,latitude,longitude,retweet,polarity,pol_value
0,"RT @Pun_Starr: EC has directed East Delhi RO to file an FIR against Gautam Gambhir for holding a rally without permission.

Slowly but sure…",2019-04-28 01:02:23,,,211,Negative,-0.3
1,"RT @iimcomic: Daler Mehndi joined BJP.

Mehndi fits well with BJP’s agenda of turning green into saffron 🙊",2019-04-28 01:02:21,,,11,Negative,-0.2
2,"#ModiAaneWalaHai
It is the promise of the BJP govt to provide a home with electricity, LPG cylinder, toilets to all… https://t.co/qfSXN67Gw8",2019-04-28 01:02:16,,,0,Neutral,0.0
3,"RT @IndianInterest: This dinosaur is clear about two things:

1. BJP's victory in the 2019 elections is a foregone conclusion. Modi will wi…",2019-04-28 01:02:16,,,636,Positive,0.1
4,"@MukulAgarwal66 Not just that he is believed to be one who can defeat BJP in Maharashtra, checkmate it",2019-04-28 01:02:16,78.233173, 17.2371055,0,Neutral,0.0
5,RT @smarket: There is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then- 1. Yashwa…,2019-04-28 01:02:09,,,1817,Neutral,0.0
6,#RT #globalization Knowledge is power site:Using #Networking #trick n #YesWeCan Yes Modi did https://t.co/R0JcQJodkk https://t.co/VVH645YzJu,2019-04-28 01:02:05,,,0,Neutral,0.0
7,"RT @ameytirodkar: 40 days back, everyone was saying Mumbai is one sided battle. BJP Sena will win all 6 seats hands down. 

Today everyone…",2019-04-28 01:02:04,,,254,Positive,0.21
8,"RT @squintneon: If you want one BJP candidate &amp; one non BJP candidate to win... who it would be

For me

BJP Candidate- Smriti Irani(Amethi…",2019-04-28 01:01:59,,,673,Highly Positive,0.8
9,RT @ChBirenderSingh: Saddened by death of four police personnel and BJP MLA Shri Bhima Mandavi in an IED attack in Dantewada today. We stan…,2019-04-28 01:01:57,,,76,Neutral,0.0
10,"RT @AnkitLal: Real face of @INCIndia exposed :
Its habitual offender former Okhla MLA Asif Khan falsely calls @AtishiAAP a Jewi &amp; says Musl…",2019-04-28 01:01:56,,,181,Negative,-0.07
11,"#ModiAaneWalaHai
It is the goal of the BJP govt to raise the standard of living of every person without any discrim… https://t.co/qFtmTMGAgo",2019-04-28 01:01:55,,,0,Neutral,0.0
12,"RT @arvindgunasekar: On the request of BJP n 2013, outline of their lotus symbol was made bolder including the water lines below,though the…",2019-04-28 01:01:55,,,1,Neutral,0.0
13,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 01:01:52,,,2204,Neutral,0.0
14,"RT @PROCBS: Visuals from the lamp lighting ceremony at Meeting of BJP Panna Pramukhs, chaired by @ChBirenderSingh at Uchana, Haryana today.…",2019-04-28 01:01:49,,,53,Neutral,0.0
15,RT @AashishKhetan: Karkare’s daughter breaks silence: ‘Don’t want to dignify her (Pragya’s) remark … my father taught us terror has no reli…,2019-04-28 01:01:48,,,29,Neutral,0.0
16,RT @attomeybharti: “We will change politics” wali @AtishiAAP appealing people to vote for goons if it helps to defeat BJP. *slow claps* htt…,2019-04-28 01:01:47,,,298,Positive,0.1
17,RT @FeignShourie: Income tax department served Nth notice to @DKShivakumar today. Now DKS's aged mother too is implicated in all this vende…,2019-04-28 01:01:46,,,51,Negative,-0.25
18,"@_sabanaqvi Madam, suggest BJP also to retire Smriti from Amethi for safe win of your Rahul boss.",2019-04-28 01:01:37,,,0,Highly Positive,0.65
19,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 01:01:35,,,2197,Positive,0.48
