,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,@manojmuntashir @sherryontopp @RahulGandhi @INCIndia @DrSanjaySinhMP This video brought tears in my eyes generation… https://t.co/axN0A9SYRj,2019-04-28 06:42:28,77.373474, 12.919037,1537,Neutral,0.0,14,
1,"© S H R I K A N T S I N G H
.
Published in @PunjabKesariCom @AICCMedia @INCIndia @INCDelhi @RahulGandhi… https://t.co/X3bwl7QEOi",2019-04-28 06:42:16,76.84252, 28.397657,475,Neutral,0.0,75,"New Delhi, India"
2,Request @Republic_Bharat to interpret legal implication on such idiotic gundai of @RahulGandhi https://t.co/YYd8LiPS5z,2019-04-28 06:41:35,91.42078, 26.42383,22329,Negative,-0.16,2236,"Nalbari, Assam, INDIA"
3,@Mahadev2591 @RahulGandhi @RahulEaswar Tooooooo goooood 🤣😂🤣,2019-04-28 06:41:03,77.149786, 28.156842,22531,Neutral,0.0,2003,New Delhi
4,@SureshB23546547 @RahulGandhi He will do it,2019-04-28 06:38:15,79.876158, 12.463782,2224,Neutral,0.0,94,"Nandivaram-Guduvancheri, India"
5,"@rahulkanwal @IndiaToday @aajtak @narendramodi @PMOIndia @RahulGandhi He will do it post 23rd.
Do you remember the… https://t.co/EaSXmoKjwo",2019-04-28 06:37:12,77.3305776, 12.731936,4680,Neutral,0.0,88,"Bengaluru, Karnataka"
6,"@RahulGandhi Don't u think, u are making the work of your  opposition easier",2019-04-28 06:35:54,88.094457, 22.269493,181,Neutral,0.0,10,"barahpur,mor,mokama,patnaBIHAR"
7,How eager the #bjp ministers are to spread false claim against #RahulGandhi. If our politicians put in the same eff… https://t.co/MAdcrHKBKv,2019-04-28 06:32:01,77.3305776, 12.731936,2748,Negative,-0.2,228,India
8,@manojmuntashir @msmishra8 @RahulGandhi @INCIndia @DrSanjaySinhMP Congress party jindabad,2019-04-28 06:25:26,77.302126, 28.443981,195,Neutral,0.0,7,
9,@ashutosh83B @PMOIndia @BJP4India @INCIndia @AamAadmiParty @arunjaitley @RahulGandhi Absolutely right but no one wi… https://t.co/fmyqCFPx2U,2019-04-28 06:23:42,80.125067, 26.177178,232,Positive,0.29,0,
10,@kinghaseeb28 @BJP4India @jetairways @PMOIndia We are not as duffer as @INCIndia and his leader @RahulGandhi who sh… https://t.co/0tR3wPN9Td,2019-04-28 06:22:24,76.84252, 28.397657,5494,Neutral,0.0,599,Delhi
11,Vote for congress @RahulGandhi @priyankagandhi @ashokgehlot51 @SachinPilot @pulkitsinghal_ @sherryontopp… https://t.co/AxLhgV0ttz,2019-04-28 06:21:25,75.5589819, 26.0225729,695,Neutral,0.0,21,rajasthan 
