,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,@murthybs @NITINKML @sohail20dec @vjamritraj @sanjayuvacha @Paragbhandari1 @arungiri 14 plus or minus 3 for both Alliance and BJP,2019-04-28 07:22:24,146.140586656, -38.2206416445,6515,Negative,-0.1,261,
1,"#BJP &amp; #Modi now suffering from #MamataPhobia so repeatedly they're spreading #falsehood 
#LokSabhaElections2019 https://t.co/GDuKptioed",2019-04-28 07:21:04,88.094457, 22.269493,24774,Neutral,0.0,2965,"Kolkata,India."
2,@786a0393c8e343e @Sujan_Speak @cpimspeak @AITCofficial so u r legitimating bjp's vote loot in Tripura? BJP doesn't… https://t.co/diuGVypmMn,2019-04-28 07:18:33,150.743944832, -34.628601669,25885,Neutral,0.0,468,Australia
3,"So haters have started to provide sex for vote against BJP. To beat one man .they can go to any levels.

Disgusting https://t.co/WQIs2qVgXq",2019-04-28 07:18:30,77.302126, 28.443981,569,Highly Negative,-1.0,161,"Noida, India"
4,@NewsroomPostCom @ashokgehlot51 @narendramodi @BJP4India We may not like Some of BJP actions. But India Hates the S… https://t.co/3OctgexGL0,2019-04-28 07:18:25,77.096236, 23.871941,189,Neutral,0.0,1103,"New Delhi, India"
5,"@GaneshGopan4 @Swamy39 BJP might pull a coup there supporting the Commies. Real politik. You never know. 

Yes I be… https://t.co/NZ1Wij7huZ",2019-04-28 07:18:16,83.1174241, 17.5781308,14272,Positive,0.23,779,India
6,It's a smart move by Habib.Soon you will find all BJP leaders well groomed having the latest hair cuts.Its good bus… https://t.co/qSNwnkHryu,2019-04-28 07:15:42,72.74484, 18.845343,3992,Positive,0.47,80,Mumbai 
7,"- Will settle succession issue in Punjab which would otherwise face factionalism
- Stain of 84 riots will get furth… https://t.co/39mjl9nBXV",2019-04-28 07:14:54,90.939097, 25.722728,8760,Neutral,0.0,554,Bombay
8,"#HemantKarkare's children lost their father to terrorism
They lost their mother &amp; donated her organs to save the li… https://t.co/qai4szwKFU",2019-04-28 07:14:52,72.958588, 18.986727,1925,Neutral,0.0,1154,"Thane, India"
9,Must watch #phirekbaarmodisarkaar #modifor2019 #modiforindia #modiforindia #modi #bjp #mebhichowkidar @narendramodi… https://t.co/3fsu3aftb9,2019-04-28 07:13:33,77.3305776, 12.731936,43,Neutral,0.0,10,
10,Any other Congress CM or senior leader will lose in perception game &amp; will appear weak in the current environment.… https://t.co/uNhNZhqR1E,2019-04-28 07:12:22,90.939097, 25.722728,8760,Negative,-0.23,554,Bombay
