,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,From zero-interest loan for farmers to housing for all - Here are BJP's promises in manifesto for #LS2019… https://t.co/4PEOLc7dFK,2019-04-28 00:25:00,,,539,Neutral,0.0,16084,India
1,"RT @myogiadityanath: #BJPManifesto reflects PM Sri @narendramodi‘s vision of making of नया भारत, संकल्पित भारत, सशक्त भारत by catapulting I…",2019-04-27 16:21:49,,,530,Neutral,0.0,0,
2,#BJP #Congress #BJPManifesto #CongressManifesto yes correct but nothing was happend https://t.co/Pk2OOwOwu6,2019-04-27 15:53:27,,,4,Neutral,0.0,1615,"New Delhi ,India"
3,"""The security strategy is entirely #Military, quite ignoring the real threat to this nation and to all others from… https://t.co/xeHgVG3BC9",2019-04-27 12:00:37,,,347,Positive,0.05,1238,"Nariman Point, Mumbai, India"
4,"RT @Ramkishorkatar2: #BJPManifesto 
1. New 75 medical college.
2. Smart 20 school open.
3. Provide 50 lakh for entrepreneurs.
4. Opportunit…",2019-04-27 10:42:11,,,50,Positive,0.09,10," Rajasthan, India"
5,"RT @dubeyamitabh: The truth about rural electrification

#BJPSankalpPatr2019 #BJPJumlaManifesto #BJPManifesto https://t.co/jvbToZI3sf",2019-04-27 10:28:56,,,4645,Neutral,0.0,5165,
6,Now the @pid_gov has ruled by @BJP4India that's why the @ImranKhanPTI wanna to see again @narendramodi_in as a PM o… https://t.co/2bwt0MfHrP,2019-04-27 06:21:17,,,4148,Neutral,0.0,30,"Murshidabad, India"
7,"RT @SataymevJ: Change your #BjpManifesto and include #MensCommission, #familyCommission ,#childCommission
and #scrap498a_Dv_125,
#scrapWCDM…",2019-04-27 06:00:24,,,17427,Neutral,0.0,171,
8,"RT @IamTarunJoshii: @narendramodi Number of times these words appear in #BJPManifesto :

Development : 93
Security : 44
Education : 41
Farm…",2019-04-27 03:47:37,,,2027,Neutral,0.0,20,
9,"@narendramodi Number of times these words appear in #BJPManifesto :

Development : 93
Security : 44
Education : 41… https://t.co/5Ue0oYWvbY",2019-04-27 03:39:19,,,6711,Neutral,0.0,441,India
10,#loksabhaelections #loksabhaelections2019 #election2019 #Chandigarh seat battle between #kirronkher… https://t.co/36xyZov0hK,2019-04-27 02:59:18,,,23716,Neutral,0.0,807,"Bronx, NY"
11,"RT @RoadiesX3: #RahulGandhi Right now👇
#BJPManifesto https://t.co/OkqPX0Vc33",2019-04-27 01:35:15,,,256,Positive,0.29,18,
12,"RT @SataymevJ: Change your #BjpManifesto and include #MensCommission, #familyCommission ,#childCommission
and #scrap498a_Dv_125,
#scrapWCDM…",2019-04-26 20:44:22,,,3680,Neutral,0.0,244,"Kalyan Dombivali, India"
13,"RT @SataymevJ: Change your #BjpManifesto and include #MensCommission, #familyCommission ,#childCommission
and #scrap498a_Dv_125,
#scrapWCDM…",2019-04-26 20:43:11,,,3701,Neutral,0.0,244,"Kalyan Dombivali, India"
14,RT @shahksachin: Police or govt officials believe in women words as holy grail truth. File #498A on long distance relatives also without an…,2019-04-26 19:20:00,,,9,Negative,-0.05,12,
15,"Singer Hans Raj Hans Joined #BJP 
#Politics #Delhi #BJPForIndia #BJPMission2019 #bjpdelhi #BJPManifesto https://t.co/obUcEu2l6O",2019-04-26 18:33:33,,,57,Neutral,0.0,62,"Los Angeles, CA"
16,"1- Jet Airways closed,
2- Air India in terrible loss
3-Bsnl's 54,000 jobs are in danger
4- HAL does not have money… https://t.co/hUMfhWZSO0",2019-04-26 17:57:16,72.74484, 18.845343,449,Highly Negative,-0.55,283,Mumbai-India
17,"RT @dhruv_rathee: I have been reading the #BJPManifesto since last 2 hours 

It is very very disappointing to see how enviornment, biodiver…",2019-04-26 17:17:01,,,2721,Negative,-0.39,2,"Hyderabad, India"
18,"RT @SumanManna_: Pic 1 : Wife of JKLF Chief Yasin Malik during Manmohan Singh rule 

Pic 2 : Wife of JKLF Chief Yasin Malik  during @narend…",2019-04-26 16:34:01,,,40596,Neutral,0.0,763,"West Bengal, India"
19,"Pic 1 : Wife of JKLF Chief Yasin Malik during Manmohan Singh rule 

Pic 2 : Wife of JKLF Chief Yasin Malik  during… https://t.co/VC06cRksif",2019-04-26 16:33:54,,,40596,Neutral,0.0,763,"West Bengal, India"
20,"RT @dhruv_rathee: One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir
1998: Ram Mandir
20…",2019-04-26 15:55:37,,,9588,Negative,-0.28,12,United Arab Emirates
21,"RT @RadhaSh62335034: NarMo to Psychiatrist: I will create 50 Million Jobs
Psychiatrist: Hmm. You are a compulsive liar, aren’t you?
 #BJPMa…",2019-04-26 15:20:14,,,35,Neutral,0.0,2,
22,RT @sanket: #CongManifesto and #BJPManifesto must not turn out like this. https://t.co/qmL8eKT1U8,2019-04-26 11:58:19,,,2661,Neutral,0.0,58,
23,"RT @BelalNadeemJMI: Under BJP's watch, a Dalit suffers an attrocity every 12 minutes and six Dalits women were rape everyday say a data fro…",2019-04-26 09:32:52,,,1526,Negative,-0.4,23,
24,"RT @Ramkishorkatar2: #BJPManifesto 
1. New 75 medical college.
2. Smart 20 school open.
3. Provide 50 lakh for entrepreneurs.
4. Opportunit…",2019-04-26 09:22:57,,,46,Positive,0.09,6,Ambapura ( Royal Rajasthan) 
